Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.65625,9.65625,9.0,9.0,6.210730075836182,134000
2000-01-04,8.875,9.28125,8.875,9.0,6.210730075836182,68200
2000-01-05,9.0,9.25,9.0,9.15625,6.31855583190918,70000
2000-01-06,9.09375,9.5,9.03125,9.46875,6.534204483032227,78600
2000-01-07,9.4375,9.46875,9.25,9.3125,6.426380157470703,71800
2000-01-10,9.34375,9.34375,9.1875,9.28125,6.404813766479492,67000
2000-01-11,9.3125,9.34375,9.25,9.25,6.383250713348389,68200
2000-01-12,9.25,9.3125,9.21875,9.3125,6.426380157470703,93000
2000-01-13,9.3125,9.5,9.25,9.4375,6.512638092041016,94400
2000-01-14,9.5,9.5,9.25,9.25,6.383250713348389,118000
2000-01-18,9.1875,9.1875,8.9375,9.0625,6.2538604736328125,74000
2000-01-19,9.0625,9.21875,9.0,9.09375,6.275426864624023,106000
2000-01-20,9.125,9.3125,8.875,8.96875,6.18916654586792,77400
2000-01-21,9.03125,9.1875,8.875,9.09375,6.275426864624023,111200
2000-01-24,9.28125,9.28125,8.9375,8.9375,6.167599201202393,120400
2000-01-25,8.96875,8.96875,8.5625,8.5625,5.908820629119873,67200
2000-01-26,8.59375,8.875,8.5625,8.875,6.1244707107543945,91200
2000-01-27,8.9375,9.09375,8.9375,9.03125,6.232292175292969,83000
2000-01-28,9.03125,9.15625,8.75,8.8125,6.081336975097656,90800
2000-01-31,8.84375,9.1875,8.84375,9.03125,6.232292175292969,114600
2000-02-01,9.0,9.0,8.65625,8.78125,6.059774398803711,59000
2000-02-02,8.71875,8.9375,8.65625,8.8125,6.081336975097656,122200
2000-02-03,8.8125,8.875,8.6875,8.8125,6.081336975097656,61600
2000-02-04,8.78125,8.78125,8.5625,8.6875,5.99507999420166,101400
2000-02-07,8.5625,8.6875,8.5,8.6875,5.99507999420166,62200
2000-02-08,8.78125,8.84375,8.5,8.5625,5.908820629119873,70800
2000-02-09,8.625,8.8125,8.3125,8.4375,5.822559833526611,98800
2000-02-10,8.40625,8.5,8.21875,8.4375,5.822559833526611,522200
2000-02-11,8.4375,8.53125,7.96875,8.0,5.520645618438721,135000
2000-02-14,7.96875,8.25,7.90625,8.21875,5.671603679656982,56200
2000-02-15,8.3125,8.4375,8.15625,8.4375,5.822559833526611,76200
2000-02-16,8.4375,8.53125,8.125,8.125,5.60690975189209,86000
2000-02-17,8.21875,8.46875,8.1875,8.25,5.69317102432251,82400
2000-02-18,8.28125,8.28125,7.9375,7.96875,5.499083995819092,60400
2000-02-22,7.96875,8.0,7.8125,7.96875,5.499083995819092,123800
2000-02-23,8.03125,8.09375,7.6875,7.875,5.434388160705566,95600
2000-02-24,7.875,7.9375,7.65625,7.6875,5.304998874664307,41400
