Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,39.625,39.625,36.9375,37.25,18.970550537109375,982600
2000-01-04,37.0,37.3125,35.6875,35.875,18.27030372619629,1007000
2000-01-05,35.8125,37.0,35.125,35.5625,18.2254581451416,1016800
2000-01-06,35.125,36.5,35.0625,36.3125,18.609827041625977,743500
2000-01-07,36.625,37.1875,36.375,37.0,18.9621639251709,526700
2000-01-10,36.75,37.5,35.5625,35.8125,18.35359001159668,562600
2000-01-11,35.625,37.0,35.625,36.1875,18.54576873779297,902500
2000-01-12,36.1875,36.625,35.3125,35.75,18.32155990600586,693800
2000-01-13,35.9375,36.9375,35.875,36.375,18.64185905456543,709300
2000-01-14,34.375,36.0,34.375,35.3125,18.09734344482422,801000
2000-01-18,33.5625,35.375,33.4375,35.125,18.001243591308594,861400
2000-01-19,33.625,34.4375,33.125,33.5,17.16844940185547,772600
2000-01-20,33.375,33.75,32.0625,32.1875,16.49580955505371,1178000
2000-01-21,32.3125,33.4375,32.0,33.0625,16.944229125976562,1127800
2000-01-24,32.875,33.1875,30.375,31.25,16.015350341796875,800400
2000-01-25,31.1875,31.625,30.0625,30.4375,15.598944664001465,771600
2000-01-26,30.75,31.75,30.5,31.0,15.887228012084961,718800
2000-01-27,31.5,31.5,29.9375,30.625,15.695040702819824,602200
2000-01-28,30.5,30.5625,29.25,29.5625,15.150514602661133,648600
2000-01-31,29.875,32.25,29.5625,31.4375,16.11143684387207,912400
2000-02-01,30.875,31.0625,29.125,29.4375,15.086445808410645,1091100
2000-02-02,28.75,29.125,28.25,28.8125,14.766148567199707,1250800
2000-02-03,28.8125,29.6875,28.6875,29.3125,15.022397994995117,927900
2000-02-04,29.0625,29.0625,27.75,28.1875,14.445842742919922,705600
2000-02-07,28.1875,28.25,27.5,27.8125,14.253658294677734,710200
2000-02-08,27.75,28.625,27.6875,28.375,14.54193115234375,582800
2000-02-09,28.3125,28.3125,27.625,27.6875,14.189595222473145,669400
2000-02-10,27.0,27.625,26.25,26.3125,13.484919548034668,1171500
2000-02-11,26.3125,26.4375,25.4375,25.8125,13.228668212890625,1239800
2000-02-14,25.8125,26.5,25.8125,25.9375,13.292737007141113,576000
2000-02-15,25.9375,27.5625,25.875,27.4375,14.061471939086914,887900
2000-02-16,29.5625,29.5625,27.0,27.4375,14.061471939086914,1484900
2000-02-17,27.25,29.5625,27.25,29.375,15.054422378540039,1227200
2000-02-18,29.3125,29.8125,28.875,29.25,14.990361213684082,1040500
2000-02-22,29.1875,29.9375,28.8125,29.5625,15.150514602661133,895300
2000-02-23,29.5625,29.5625,28.5,28.875,14.79818344116211,1198100
2000-02-24,28.0,28.0,27.3125,27.75,14.221624374389648,1303600
2000-02-25,27.8125,28.625,27.5,27.75,14.221624374389648,928500
2000-02-28,27.75,28.4375,27.625,28.25,14.47787857055664,544800
2000-02-29,28.0625,28.4375,27.8125,28.375,14.54193115234375,677300
2000-03-01,28.375,29.1875,28.375,28.9375,14.830205917358398,930400
2000-03-02,28.9375,29.125,28.4375,28.5625,14.638018608093262,903000
2000-03-03,28.4375,29.1875,28.3125,29.0,14.8622465133667,472100
2000-03-06,29.0,29.125,28.5625,29.0,14.8622465133667,673300
2000-03-07,28.625,28.625,27.1875,27.5625,14.125533103942871,1116100
2000-03-08,27.3125,30.4375,27.0625,30.3125,15.534884452819824,1090600
2000-03-09,29.5,30.3125,29.0625,30.1875,15.470819473266602,692100
2000-03-10,29.3125,29.375,27.875,28.9375,14.830205917358398,815300
2000-03-13,28.6875,28.6875,27.875,28.3125,14.509902954101562,639300
2000-03-14,28.0625,28.4375,27.875,28.0625,14.381787300109863,461900
2000-03-15,28.0,30.0,27.875,29.75,15.246600151062012,1107500
2000-03-16,29.9375,34.125,29.6875,34.0,17.42469024658203,1444000
2000-03-17,33.6875,33.75,31.875,31.875,16.33565330505371,1383000
2000-03-20,31.625,35.375,30.875,33.8125,17.32859992980957,1182300
2000-03-21,33.875,34.9375,30.4375,31.375,16.07941436767578,2726700
2000-03-22,30.25,30.5,29.0,29.6875,15.214578628540039,1206700
2000-03-23,29.5625,30.875,28.125,30.0625,15.406761169433594,1614800
2000-03-24,29.8125,31.0,29.5625,30.5,15.630976676940918,795100
2000-03-27,29.4375,29.9375,29.0625,29.1875,14.958335876464844,729700
2000-03-28,28.9375,29.75,28.9375,29.0,14.8622465133667,531300
2000-03-29,29.0625,30.0625,29.0,29.9375,15.342696189880371,611200
2000-03-30,30.1875,31.375,30.1875,31.125,15.951275825500488,725900
2000-03-31,31.125,31.125,30.1875,30.75,15.759098052978516,578900
2000-04-03,30.8125,30.9375,29.9375,30.6875,15.727072715759277,569100
2000-04-04,32.5,33.875,31.125,31.8125,16.303617477416992,1284600
2000-04-05,31.5625,32.4375,31.125,31.3125,16.161678314208984,782000
2000-04-06,31.0625,31.125,29.5625,30.125,15.548763275146484,720000
2000-04-07,29.8125,29.875,28.0625,28.125,14.516478538513184,1612800
2000-04-10,28.125,29.0,27.5625,29.0,14.968106269836426,998000
2000-04-11,28.6875,28.75,28.125,28.5625,14.742290496826172,781600
2000-04-12,28.5625,30.375,28.5625,29.5,15.226177215576172,967400
2000-04-13,29.75,31.625,29.6875,30.9375,15.968130111694336,1435100
2000-04-14,29.875,30.9375,29.1875,29.25,15.097135543823242,728700
2000-04-17,29.5,30.25,29.0,30.0,15.484251976013184,629600
2000-04-18,27.5,29.125,27.125,28.375,14.645514488220215,1437500
2000-04-19,28.0,28.3125,27.75,28.0625,14.484225273132324,777800
2000-04-20,28.0,28.25,27.75,28.0625,14.484225273132324,565300
2000-04-24,28.0625,28.5,27.5,28.125,14.516478538513184,597300
2000-04-25,28.1875,29.4375,27.25,29.0,14.968106269836426,601700
2000-04-26,29.0,29.25,27.0625,27.4375,14.161629676818848,1220200
2000-04-27,27.1875,27.1875,26.1875,26.6875,13.774530410766602,1376100
2000-04-28,26.6875,26.6875,25.625,26.0,13.41967487335205,1021100
2000-05-01,25.5,26.5,25.4375,26.0625,13.451943397521973,1194300
2000-05-02,26.0625,26.75,26.0,26.5,13.677748680114746,649200
2000-05-03,28.625,30.5,27.8125,29.5625,15.258437156677246,2342500
2000-05-04,28.0,29.4375,27.25,28.5625,14.742290496826172,1158800
2000-05-05,29.3125,29.5,28.25,28.375,14.645514488220215,503800
2000-05-08,29.1875,29.875,28.8125,29.5,15.226177215576172,689300
