Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,23.5,23.75,23.03125,23.1875,13.582381248474121,906400
2000-01-04,22.875,23.0,22.21875,22.3125,13.069836616516113,1060000
2000-01-05,22.375,23.25,22.1875,22.40625,13.124751091003418,1087400
2000-01-06,22.53125,23.65625,22.4375,23.0,13.472549438476562,1002400
2000-01-07,23.03125,23.46875,22.625,23.0625,13.509163856506348,805800
2000-01-10,23.0,23.40625,22.84375,23.125,13.54577350616455,659200
2000-01-11,23.125,23.25,22.375,22.65625,13.271195411682129,813200
2000-01-12,22.78125,23.28125,22.34375,22.5,13.179666519165039,684000
2000-01-13,22.5,22.71875,22.28125,22.34375,13.088150978088379,500600
2000-01-14,22.4375,22.4375,20.0,21.28125,12.465771675109863,9517000
2000-01-18,21.28125,21.5,20.8125,21.5,12.59390640258789,1003400
2000-01-19,21.25,21.6875,21.0625,21.5625,12.630517959594727,1031400
2000-01-20,21.53125,21.5625,21.0,21.09375,12.355938911437988,1087400
2000-01-21,21.09375,21.21875,20.375,20.625,12.081361770629883,960200
2000-01-24,20.8125,20.8125,20.0625,20.0625,11.751866340637207,665800
2000-01-25,20.1875,20.59375,19.65625,19.90625,11.660348892211914,641600
2000-01-26,20.0,20.21875,19.625,20.09375,11.770174980163574,998200
2000-01-27,20.0625,20.0625,19.5,19.71875,11.550514221191406,623600
2000-01-28,19.625,19.625,18.875,18.875,11.056276321411133,1407600
2000-01-31,19.25,21.40625,19.21875,21.25,12.447465896606445,1982400
2000-02-01,21.125,21.25,20.125,20.28125,11.880005836486816,1198400
2000-02-02,20.25,20.75,20.1875,20.34375,11.916616439819336,1300000
2000-02-03,20.46875,20.90625,20.46875,20.6875,12.11797046661377,975200
2000-02-04,20.8125,20.9375,20.5,20.75,12.154586791992188,786800
2000-02-07,20.5625,20.75,20.4375,20.5,12.00814151763916,627800
2000-02-08,20.5,21.09375,20.5,21.09375,12.355938911437988,887600
2000-02-09,20.9375,21.15625,20.78125,20.875,12.227804183959961,911200
2000-02-10,20.75,21.0625,20.59375,21.0,12.301023483276367,1077600
2000-02-11,21.0,22.71875,20.9375,21.375,12.520687103271484,2209200
2000-02-14,21.375,21.5,20.78125,21.21875,12.42916202545166,885200
2000-02-15,21.125,22.0625,21.125,21.90625,12.831875801086426,1211400
2000-02-16,22.125,22.59375,21.625,22.09375,12.941704750061035,1650000
2000-02-17,22.03125,22.53125,22.0,22.28125,13.051528930664062,838400
2000-02-18,22.25,22.6875,22.25,22.5625,13.216280937194824,1215400
2000-02-22,22.46875,23.625,22.1875,23.34375,13.673906326293945,1636000
2000-02-23,23.0625,23.6875,22.75,23.0625,13.58481216430664,1850200
2000-02-24,22.65625,22.65625,21.84375,22.375,13.179841041564941,2772800
2000-02-25,22.40625,22.65625,22.09375,22.5625,13.290292739868164,1627400
2000-02-28,22.5,22.53125,21.96875,22.0625,12.995771408081055,1047200
2000-02-29,21.5,21.96875,20.9375,21.96875,12.940544128417969,2147800
2000-03-01,21.96875,22.5,21.5,22.40625,13.198253631591797,1485800
2000-03-02,22.28125,22.3125,21.46875,21.84375,12.866917610168457,850200
2000-03-03,21.71875,21.71875,21.4375,21.5625,12.701249122619629,828000
2000-03-06,21.25,21.375,20.78125,21.09375,12.425146102905273,889200
2000-03-07,20.59375,20.625,19.8125,20.0,11.780866622924805,1308200
2000-03-08,20.0,21.5625,19.875,20.90625,12.314689636230469,1841600
2000-03-09,20.21875,20.8125,20.15625,20.5625,12.112212181091309,1652600
2000-03-10,20.34375,20.5,19.875,20.0,11.780866622924805,1022000
2000-03-13,19.6875,20.0,19.59375,20.0,11.780866622924805,825800
2000-03-14,20.0,20.5625,20.0,20.46875,12.056982040405273,1069800
2000-03-15,20.5,21.9375,20.3125,21.875,12.885320663452148,1606600
2000-03-16,22.0,24.15625,22.0,23.84375,14.045000076293945,1892200
2000-03-17,23.25,23.5,23.0625,23.0625,13.58481216430664,1529400
2000-03-20,23.0625,24.0,23.0625,23.5,13.84251880645752,1459200
2000-03-21,23.625,23.625,23.0,23.46875,13.82410717010498,707800
2000-03-22,23.125,23.25,22.125,22.53125,13.271891593933105,1051600
2000-03-23,22.3125,22.71875,21.90625,22.65625,13.345518112182617,746600
2000-03-24,22.40625,22.5,21.875,22.0,12.958956718444824,974000
2000-03-27,21.5625,21.96875,21.5,21.59375,12.719656944274902,736400
2000-03-28,21.5,21.78125,20.90625,21.0,12.369909286499023,2338600
2000-03-29,21.09375,23.5,21.09375,23.40625,13.787299156188965,2919000
2000-03-30,23.40625,24.90625,23.375,24.5,14.431563377380371,1623000
2000-03-31,24.8125,25.34375,24.375,24.375,14.357937812805176,1573200
2000-04-03,24.25,24.4375,23.5,23.5,13.84251880645752,1619400
2000-04-04,23.625,25.03125,23.625,24.34375,14.339533805847168,1582200
2000-04-05,24.0,24.8125,23.71875,24.0,14.137043952941895,627200
2000-04-06,23.75,23.8125,23.375,23.78125,14.008188247680664,746200
2000-04-07,23.625,23.71875,22.96875,23.09375,13.60322380065918,744400
2000-04-10,23.09375,23.28125,22.90625,23.21875,13.676847457885742,672000
2000-04-11,23.3125,24.1875,23.1875,23.96875,14.118632316589355,1034800
2000-04-12,23.96875,25.1875,23.9375,24.5625,14.468384742736816,1346400
2000-04-13,24.6875,24.6875,24.0,24.15625,14.229080200195312,985600
2000-04-14,24.15625,24.625,23.21875,23.53125,13.86092472076416,1104800
2000-04-17,23.59375,23.96875,22.9375,23.40625,13.787299156188965,1290600
2000-04-18,23.4375,23.59375,23.0625,23.28125,13.713672637939453,503200
2000-04-19,23.375,24.25,23.21875,23.78125,14.008188247680664,1016000
2000-04-20,23.75,24.1875,23.625,23.84375,14.045000076293945,539800
2000-04-24,23.5,25.21875,23.5,24.5625,14.468384742736816,1721400
2000-04-25,24.0,24.96875,23.78125,24.5625,14.468384742736816,861400
2000-04-26,24.4375,24.4375,23.5625,23.8125,14.026588439941406,1187800
2000-04-27,23.6875,23.84375,23.3125,23.53125,13.86092472076416,924800
2000-04-28,23.375,23.375,22.5,22.75,13.400734901428223,1145800
2000-05-01,22.6875,22.9375,22.5,22.65625,13.345518112182617,646400
2000-05-02,22.65625,23.15625,22.5,22.9375,13.511186599731445,753600
2000-05-03,23.625,24.375,23.4375,23.53125,13.86092472076416,1131200
2000-05-04,23.65625,24.0625,23.265625,23.625,13.91615104675293,658800
2000-05-05,23.53125,23.9375,23.0625,23.1875,13.658440589904785,475800
2000-05-08,23.09375,24.3125,23.03125,24.125,14.210673332214355,744200
2000-05-09,24.03125,24.5,24.0,24.34375,14.339533805847168,530400
2000-05-10,24.21875,25.125,24.21875,25.0,14.726082801818848,1012200
2000-05-11,24.75,25.28125,24.71875,25.0,14.726082801818848,659400
2000-05-12,24.90625,25.15625,24.53125,24.6875,14.542003631591797,891600
2000-05-15,24.875,25.96875,24.84375,25.78125,15.186277389526367,1414200
2000-05-16,25.875,25.96875,25.25,25.6875,15.131054878234863,564400
2000-05-17,25.5625,25.5625,24.8125,25.125,14.799717903137207,396800
2000-05-18,25.0625,25.5625,24.8125,25.34375,14.928568840026855,346000
2000-05-19,25.21875,25.5,24.8125,24.90625,14.670858383178711,554600
2000-05-22,24.65625,25.5625,24.53125,25.46875,15.002188682556152,655800
2000-05-23,25.40625,25.96875,25.1875,25.9375,15.356700897216797,681200
2000-05-24,25.875,26.71875,25.875,26.53125,15.708236694335938,909800
2000-05-25,26.46875,26.65625,26.09375,26.625,15.763751029968262,900200
2000-05-26,26.96875,27.90625,26.84375,27.5,16.281801223754883,1544200
2000-05-30,27.46875,27.46875,26.46875,26.90625,15.930255889892578,1374600
2000-05-31,27.09375,27.09375,25.65625,25.9375,15.356700897216797,1136000
2000-06-01,26.125,26.1875,25.4375,25.6875,15.208681106567383,930200
2000-06-02,26.0625,26.0625,25.0,25.03125,14.820138931274414,1091200
2000-06-05,25.125,25.625,24.5,24.59375,14.561107635498047,920600
2000-06-06,24.625,25.53125,24.5,25.40625,15.04216194152832,773200
2000-06-07,25.21875,26.34375,25.21875,26.0625,15.430705070495605,998000
2000-06-08,26.4375,26.4375,25.40625,26.1875,15.504711151123047,778400
2000-06-09,26.1875,26.21875,25.71875,25.90625,15.33819580078125,449600
2000-06-12,25.90625,26.3125,25.75,25.78125,15.264191627502441,396800
2000-06-13,25.875,26.40625,25.75,26.28125,15.560223579406738,726000
2000-06-14,26.34375,26.65625,26.09375,26.625,15.763751029968262,639200
2000-06-15,26.65625,27.09375,26.625,26.65625,15.782247543334961,533800
2000-06-16,26.21875,26.59375,25.8125,25.84375,15.301197052001953,720800
2000-06-19,25.8125,26.125,25.4375,26.03125,15.412202835083008,1094800
2000-06-20,26.03125,26.0625,25.25,25.28125,14.96815299987793,827000
2000-06-21,25.0,25.09375,24.21875,24.8125,14.690633773803711,1905600
2000-06-22,24.5,24.5625,24.28125,24.40625,14.450098037719727,1101800
2000-06-23,23.8125,24.875,23.59375,24.84375,14.709136009216309,1232800
2000-06-26,24.78125,25.34375,24.75,25.0,14.801634788513184,686600
2000-06-27,25.09375,25.5625,25.0,25.4375,15.060669898986816,612000
2000-06-28,25.21875,25.34375,24.65625,25.1171875,14.87101936340332,595400
2000-06-29,24.5,24.65625,24.15625,24.34375,14.413102149963379,864400
2000-06-30,24.34375,24.40625,24.0625,24.25,14.357590675354004,1048200
2000-07-03,24.375,24.46875,23.9375,24.0625,14.246581077575684,398800
2000-07-05,23.6875,24.28125,23.6875,24.09375,14.26507568359375,1161400
2000-07-06,23.5625,23.625,22.53125,22.9375,13.580504417419434,2405800
2000-07-07,22.6875,23.1875,22.4375,23.15625,13.71001148223877,960600
2000-07-10,22.84375,22.96875,22.40625,22.65625,13.413985252380371,760000
2000-07-11,22.375,22.6875,22.21875,22.6875,13.432486534118652,818600
2000-07-12,22.5625,22.59375,22.125,22.25,13.173460960388184,483800
2000-07-13,22.25,22.5625,22.25,22.53125,13.339982032775879,514400
2000-07-14,22.4375,22.625,22.3125,22.375,13.24746322631836,593800
2000-07-17,22.375,22.375,21.71875,21.90625,12.969938278198242,544400
2000-07-18,21.90625,22.4375,21.84375,22.375,13.24746322631836,611800
2000-07-19,22.4375,22.90625,22.375,22.59375,13.376980781555176,851400
2000-07-20,22.625,22.875,22.21875,22.25,13.173460960388184,515200
2000-07-21,22.125,22.25,21.5625,21.5625,12.766413688659668,557000
2000-07-24,21.4375,21.78125,21.25,21.59375,12.784917831420898,847200
2000-07-25,21.65625,22.6875,21.65625,22.09375,13.080952644348145,852200
2000-07-26,22.1875,23.96875,22.1875,23.25,13.765522956848145,2485800
2000-07-27,23.25,23.71875,22.75,22.875,13.54349136352539,1052600
2000-07-28,22.9375,23.4375,22.78125,23.28125,13.784029960632324,698400
2000-07-31,23.28125,23.4375,22.9375,23.125,13.691516876220703,1323600
2000-08-01,23.03125,23.34375,23.0,23.125,13.691516876220703,684800
2000-08-02,23.15625,23.28125,22.78125,23.125,13.691516876220703,948600
2000-08-03,23.21875,23.46875,23.03125,23.1875,13.728514671325684,589400
2000-08-04,23.25,23.53125,23.0,23.4375,13.876533508300781,665800
2000-08-07,23.375,23.4375,22.75,23.375,13.839529037475586,600200
2000-08-08,23.15625,23.21875,22.84375,23.21875,13.747015953063965,487400
2000-08-09,23.09375,23.15625,22.625,23.0625,13.65450668334961,488400
2000-08-10,23.125,23.90625,23.125,23.5,13.913538932800293,697400
2000-08-11,23.625,23.875,23.15625,23.34375,13.82102108001709,541800
2000-08-14,23.28125,23.375,23.0,23.15625,13.71001148223877,476600
2000-08-15,23.125,23.46875,23.0625,23.09375,13.673012733459473,375400
2000-08-16,23.03125,23.0625,22.59375,22.71875,13.450984001159668,850600
2000-08-17,22.59375,22.9375,22.59375,22.71875,13.450984001159668,465000
2000-08-18,22.6875,22.71875,22.21875,22.25,13.173460960388184,1261600
2000-08-21,22.25,22.625,22.15625,22.5,13.321473121643066,1003400
2000-08-22,22.53125,22.5625,22.09375,22.28125,13.191959381103516,579800
2000-08-23,22.125,22.46875,22.03125,22.4375,13.368463516235352,444000
2000-08-24,22.375,22.46875,22.1875,22.21875,13.23813533782959,535200
2000-08-25,22.1875,22.4375,21.875,21.875,13.033323287963867,1104800
2000-08-28,21.96875,22.34375,21.90625,22.0625,13.145041465759277,1537600
2000-08-29,22.09375,22.21875,21.90625,22.0,13.10780143737793,626200
2000-08-30,22.09375,22.09375,21.5625,21.5625,12.84713363647461,893800
2000-08-31,21.5625,21.5625,21.125,21.34375,12.716805458068848,692200
2000-09-01,21.5,21.5,20.78125,21.21875,12.642319679260254,1724200
2000-09-05,21.1875,21.3125,20.78125,21.0625,12.54922866821289,1802800
2000-09-06,21.3125,22.5625,21.1875,22.21875,13.23813533782959,1343200
2000-09-07,22.21875,22.59375,22.03125,22.375,13.33122730255127,920400
2000-09-08,22.28125,22.5,22.125,22.40625,13.349846839904785,539400
2000-09-11,22.59375,22.59375,22.0625,22.09375,13.16366195678711,426400
2000-09-12,22.0625,22.625,22.0,22.5625,13.442944526672363,537800
2000-09-13,22.375,22.65625,22.25,22.625,13.480182647705078,584800
2000-09-14,22.59375,22.96875,22.53125,22.8125,13.591900825500488,1408800
2000-09-15,22.8125,23.46875,22.8125,23.40625,13.945653915405273,1349200
2000-09-18,24.4375,24.46875,23.71875,24.0625,14.336664199829102,2006400
2000-09-19,24.0,24.3125,23.9375,24.28125,14.466992378234863,1200800
2000-09-20,24.21875,24.5625,23.75,24.5625,14.634571075439453,1137400
2000-09-21,24.46875,25.09375,24.46875,24.875,14.82075309753418,1109200
2000-09-22,24.96875,26.03125,24.90625,25.46875,15.174509048461914,1029400
2000-09-25,25.34375,25.375,24.625,24.71875,14.727657318115234,899600
2000-09-26,24.65625,25.25,24.65625,25.0625,14.932465553283691,901000
2000-09-27,25.25,26.375,25.125,26.09375,15.546894073486328,1275200
2000-09-28,26.3125,27.1875,26.28125,26.75,15.937893867492676,1491800
2000-09-29,26.78125,27.34375,26.71875,27.0625,16.12408447265625,1210200
2000-10-02,26.84375,26.875,25.75,26.25,15.639986038208008,1028000
2000-10-03,26.1875,26.21875,25.40625,25.4375,15.155900001525879,1679200
2000-10-04,25.5,25.8125,25.3125,25.8125,15.379321098327637,1375400
2000-10-05,26.0,26.4375,25.90625,26.1875,15.602749824523926,569000
2000-10-06,26.25,26.625,26.125,26.375,15.714466094970703,628800
2000-10-09,26.3125,26.875,26.3125,26.8125,15.975138664245605,587000
2000-10-10,26.8125,26.84375,26.21875,26.3125,15.677233695983887,725200
2000-10-11,26.09375,26.625,26.0625,26.40625,15.733086585998535,754800
2000-10-12,26.40625,26.40625,25.8125,26.09375,15.546894073486328,646400
2000-10-13,26.03125,26.28125,25.21875,25.34375,15.100035667419434,1053200
2000-10-16,25.5,25.84375,25.0625,25.5625,15.230369567871094,1502800
2000-10-17,25.5625,25.65625,25.0,25.09375,14.95108699798584,1123600
2000-10-18,25.09375,25.21875,24.8125,25.15625,14.98832893371582,709400
2000-10-19,25.15625,25.375,24.5,24.65625,14.69041919708252,742800
2000-10-20,24.625,24.6875,24.28125,24.375,14.522851943969727,507200
2000-10-23,24.625,25.125,24.21875,24.875,14.82075309753418,722200
2000-10-24,25.0625,25.96875,25.0625,25.78125,15.360701560974121,1478200
2000-10-25,25.15625,26.5,24.625,26.34375,15.695844650268555,2276600
2000-10-26,26.5625,26.65625,25.6875,25.9375,15.453803062438965,2054000
2000-10-27,25.875,26.34375,25.8125,26.28125,15.658609390258789,587400
2000-10-30,26.28125,27.4375,26.28125,26.9375,16.04961395263672,1064200
2000-10-31,26.5,27.5,26.1875,27.15625,16.179946899414062,1416000
2000-11-01,27.28125,27.75,27.03125,27.28125,16.254423141479492,1029400
2000-11-02,27.28125,27.3125,26.8125,26.875,16.01236343383789,994200
2000-11-03,26.90625,27.3125,26.84375,27.15625,16.179946899414062,658000
2000-11-06,27.28125,28.6875,27.21875,28.1875,16.79437255859375,1376200
2000-11-07,28.4375,28.6875,28.25,28.65625,17.07366371154785,973000
2000-11-08,28.65625,29.46875,28.59375,29.0,17.27846336364746,1641000
2000-11-09,29.0,29.5625,29.0,29.3125,17.464656829833984,1174400
2000-11-10,29.34375,30.5,29.34375,30.1875,17.985990524291992,2147200
2000-11-13,30.0625,30.125,29.46875,29.90625,17.818416595458984,1953600
2000-11-14,29.84375,29.84375,29.21875,29.5,17.576370239257812,1439200
2000-11-15,29.21875,30.21875,29.15625,29.9375,17.837034225463867,892600
2000-11-16,29.96875,30.5625,29.8125,30.34375,18.079082489013672,942000
2000-11-17,30.28125,30.5625,29.90625,30.0,17.874269485473633,1285400
2000-11-20,30.03125,30.40625,29.53125,29.53125,17.677488327026367,1530000
2000-11-21,29.5625,29.8125,29.0625,29.78125,17.82713508605957,1791400
2000-11-22,29.90625,30.34375,29.40625,29.84375,17.864543914794922,1533000
2000-11-24,29.84375,29.84375,29.5625,29.65625,17.752304077148438,453000
2000-11-27,29.6875,30.46875,29.5,30.25,18.107730865478516,918800
