Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.5625,9.625,9.375,9.46875,7.007542610168457,11339200
2000-01-04,9.40625,9.84375,9.375,9.78125,7.238816261291504,17990600
2000-01-05,9.71875,10.09375,9.6875,9.9375,7.354450702667236,15291000
2000-01-06,9.9375,9.9375,9.28125,9.5625,7.076923370361328,17686400
2000-01-07,9.5,9.625,9.34375,9.46875,7.007542610168457,13358200
2000-01-10,9.46875,9.46875,9.21875,9.21875,6.8225250244140625,8824000
2000-01-11,8.96875,9.25,8.90625,9.15625,6.776269435882568,9792600
2000-01-12,9.125,9.53125,9.125,9.28125,6.868781089782715,6635800
2000-01-13,9.3125,9.59375,9.15625,9.5,7.030670166015625,11179800
2000-01-14,9.53125,9.5625,9.125,9.21875,6.8225250244140625,6856800
2000-01-18,9.3125,9.3125,8.8125,9.0,6.660634994506836,9452200
2000-01-19,9.0,9.09375,8.875,9.0,6.660634994506836,5676200
2000-01-20,9.03125,9.03125,8.59375,8.6875,6.429363250732422,7137800
2000-01-21,8.71875,8.71875,8.34375,8.40625,6.221219539642334,8151000
2000-01-24,8.5,8.5625,8.03125,8.15625,6.036200046539307,11600200
2000-01-25,8.09375,8.125,7.90625,8.0625,5.966818332672119,7716600
2000-01-26,8.03125,8.40625,8.03125,8.25,6.105583667755127,13237000
2000-01-27,8.4375,8.84375,8.40625,8.46875,6.2674736976623535,14937000
2000-01-28,8.40625,8.5625,8.28125,8.28125,6.128710746765137,8821200
2000-01-31,8.46875,8.8125,8.40625,8.6875,6.429363250732422,8737600
2000-02-01,8.71875,8.875,8.59375,8.875,6.568127632141113,6502000
2000-02-02,8.84375,9.125,8.65625,9.09375,6.730020046234131,7734200
2000-02-03,9.125,9.25,8.8125,9.0,6.660634994506836,11771600
2000-02-04,8.875,8.90625,8.46875,8.8125,6.52187442779541,8523000
2000-02-07,8.46875,8.75,8.4375,8.46875,6.2674736976623535,5190200
2000-02-08,8.5625,8.90625,8.5,8.90625,6.591252326965332,6891400
2000-02-09,8.8125,8.8125,8.46875,8.5,6.290600299835205,5223600
2000-02-10,8.5,8.6875,7.96875,8.09375,5.989945411682129,10187400
2000-02-11,8.21875,8.46875,8.125,8.375,6.198092460632324,8325200
2000-02-14,8.21875,8.25,7.9375,8.1875,6.059329509735107,7594200
2000-02-15,8.15625,8.625,8.0625,8.5,6.290600299835205,7580000
2000-02-16,8.40625,8.5,8.09375,8.40625,6.221219539642334,5244400
2000-02-17,8.25,8.3125,7.90625,7.96875,5.897438049316406,7695000
2000-02-18,7.9375,7.96875,7.5,7.5,5.550529956817627,8752400
2000-02-22,7.53125,7.75,7.5,7.59375,5.619910717010498,7441800
2000-02-23,7.53125,7.6875,7.4375,7.53125,5.573657035827637,9155800
2000-02-24,7.59375,7.625,7.1875,7.375,5.45802116394043,8360400
2000-02-25,7.1875,7.3125,7.03125,7.09375,5.249875068664551,13766200
2000-02-28,7.5,7.6875,7.28125,7.5625,5.596785545349121,9052800
2000-02-29,7.5625,7.65625,7.375,7.46875,5.527403354644775,9811600
2000-03-01,7.46875,7.53125,7.3125,7.40625,5.481146812438965,6097000
2000-03-02,7.46875,7.46875,7.25,7.28125,5.388638973236084,6579800
2000-03-03,7.4375,7.53125,7.34375,7.375,5.45802116394043,9071400
2000-03-06,7.46875,7.625,7.3125,7.46875,5.527403354644775,6285200
2000-03-07,7.4375,7.46875,7.25,7.375,5.45802116394043,7321200
2000-03-08,7.34375,7.75,7.125,7.6875,5.689291954040527,11982000
2000-03-09,7.65625,7.65625,7.25,7.40625,5.481146812438965,9740600
2000-03-10,7.40625,7.5625,7.28125,7.375,5.45802116394043,8901800
2000-03-13,7.34375,7.5,7.25,7.46875,5.527403354644775,8371400
2000-03-14,7.4375,7.46875,7.1875,7.21875,5.3423848152160645,17360800
