Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,20.375,20.375,19.6875,19.8125,11.64008617401123,609700
2000-01-04,19.8125,20.875,19.6875,20.6875,12.154155731201172,1603100
2000-01-05,20.75,22.375,20.75,22.0625,12.961991310119629,3054100
2000-01-06,21.875,22.375,21.8125,22.25,13.07214069366455,1058100
2000-01-07,22.25,22.625,22.0625,22.25,13.07214069366455,943400
2000-01-10,21.75,22.125,21.5625,21.8125,12.815112113952637,543200
2000-01-11,21.625,21.9375,21.3125,21.5,12.631507873535156,751600
2000-01-12,21.5,22.3125,21.5,22.0,12.925262451171875,852800
2000-01-13,21.9375,22.0625,21.8125,22.0,12.925262451171875,863600
2000-01-14,22.0,22.0,21.3125,21.8125,12.815112113952637,1355300
2000-01-18,22.0,22.0,21.5625,21.875,12.851827621459961,2423200
2000-01-19,22.125,22.375,21.9375,22.375,13.14558219909668,1203700
2000-01-20,22.3125,22.3125,21.8125,22.0,12.925262451171875,1001600
2000-01-21,21.9375,22.625,21.625,22.4375,13.182304382324219,1815000
2000-01-24,22.5,22.6875,22.25,22.375,13.14558219909668,1304000
2000-01-25,22.3125,22.375,21.375,21.625,12.704950332641602,1033100
2000-01-26,21.4375,22.0625,21.25,22.0,12.925262451171875,1571000
2000-01-27,21.9375,22.25,21.125,21.5625,12.668233871459961,1449000
2000-01-28,21.5625,21.625,21.0625,21.125,12.411194801330566,1348800
2000-01-31,21.6875,22.0,21.3125,21.9375,12.888548851013184,1122100
2000-02-01,22.0,22.25,21.8125,22.1875,13.035423278808594,1119400
2000-02-02,22.1875,22.3125,22.0,22.0625,12.961991310119629,1514600
2000-02-03,22.125,22.9375,22.125,22.75,13.365900039672852,825800
2000-02-04,22.875,22.875,21.875,22.25,13.07214069366455,607400
2000-02-07,22.25,22.3125,22.0,22.25,13.07214069366455,456700
2000-02-08,22.125,22.4375,22.0625,22.0625,12.961991310119629,515500
2000-02-09,22.0625,22.4375,22.0625,22.0625,12.961991310119629,686200
2000-02-10,22.0,22.1875,21.25,21.375,12.558073997497559,510700
2000-02-11,21.3125,21.8125,21.0625,21.6875,12.741665840148926,811100
2000-02-14,21.5625,22.25,21.375,21.875,12.851827621459961,599700
2000-02-15,22.1875,22.25,21.625,21.8125,12.815112113952637,1339200
2000-02-16,21.8125,22.0625,21.75,21.8125,12.815112113952637,609100
2000-02-17,21.875,23.125,21.625,23.125,13.586215019226074,1716800
2000-02-18,22.875,23.0,22.3125,22.5,13.219019889831543,1276800
2000-02-22,22.0,22.75,22.0,22.4375,13.182304382324219,849300
2000-02-23,22.25,22.25,21.75,21.875,12.851827621459961,649200
2000-02-24,21.875,21.875,20.5,20.8125,12.22760009765625,1285400
2000-02-25,20.6875,20.6875,20.0,20.0625,11.786961555480957,833800
2000-02-28,20.25,20.875,19.875,20.75,12.190876960754395,851200
2000-02-29,20.6875,20.75,20.125,20.625,12.117440223693848,807500
2000-03-01,20.5625,20.625,19.75,19.9375,11.713521957397461,1260900
2000-03-02,20.25,21.125,20.25,21.0,12.337753295898438,954900
