Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.5625,8.625,8.25,8.4375,6.457980632781982,149600
2000-01-04,8.375,8.5625,8.125,8.5625,6.553652286529541,140100
2000-01-05,8.625,8.75,8.125,8.3125,6.362307071685791,199900
2000-01-06,8.3125,8.75,8.3125,8.5,6.505815029144287,216200
2000-01-07,8.5625,8.8125,8.5,8.75,6.697163105010986,164900
2000-01-10,8.625,8.625,8.375,8.5,6.505815029144287,107300
2000-01-11,8.375,8.6875,8.3125,8.625,6.601490020751953,80900
2000-01-12,8.625,8.6875,8.1875,8.1875,6.266632556915283,186600
2000-01-13,8.4375,8.4375,8.3125,8.4375,6.457980632781982,153100
2000-01-14,8.375,8.8125,8.3125,8.6875,6.6493306159973145,391900
2000-01-18,8.9375,9.3125,8.6875,9.3125,7.127697944641113,449100
2000-01-19,9.375,9.625,8.75,9.125,6.984186172485352,490600
2000-01-20,9.0,9.0,8.6875,9.0,6.888514041900635,279300
2000-01-21,9.0,9.4375,9.0,9.4375,7.223371505737305,449000
2000-01-24,9.4375,10.1875,9.4375,9.5,7.271209239959717,390900
2000-01-25,9.625,9.875,9.375,9.75,7.462553024291992,208800
2000-01-26,10.125,10.1875,9.8125,9.8125,7.510391712188721,331700
2000-01-27,9.8125,9.875,8.8125,8.8125,6.745003700256348,215000
2000-01-28,8.875,9.125,8.625,8.625,6.601490020751953,190000
2000-01-31,8.625,8.8125,8.5625,8.5625,6.553652286529541,164200
2000-02-01,8.625,8.9375,8.4375,8.9375,6.840677261352539,134100
2000-02-02,9.0,9.5,9.0,9.3125,7.127697944641113,232100
2000-02-03,9.4375,9.4375,8.75,9.0,6.888514041900635,137100
2000-02-04,9.125,9.25,8.5625,8.875,6.792839050292969,99400
2000-02-07,8.9375,8.9375,8.3125,8.6875,6.6493306159973145,133900
2000-02-08,8.6875,8.6875,8.3125,8.375,6.41014289855957,189200
2000-02-09,8.375,8.375,8.125,8.125,6.218795299530029,108500
2000-02-10,8.0625,8.375,7.9375,8.3125,6.362307071685791,155800
2000-02-11,8.3125,8.3125,8.0,8.125,6.218795299530029,154300
2000-02-14,8.0,8.0625,7.75,7.875,6.027449131011963,206900
2000-02-15,8.0,8.125,7.75,8.0625,6.170958995819092,665400
2000-02-16,8.0,8.0,7.6875,7.75,5.931773662567139,617200
2000-02-17,7.8125,7.9375,7.5,7.6875,5.883939266204834,211200
2000-02-18,7.75,7.8125,6.75,6.875,5.262058734893799,630400
2000-02-22,7.125,7.6875,7.0625,7.4375,5.692590236663818,411400
2000-02-23,7.625,7.875,7.25,7.6875,5.883939266204834,468400
2000-02-24,7.5625,7.75,7.4375,7.75,5.931773662567139,273800
2000-02-25,7.6875,7.9375,7.375,7.4375,5.692590236663818,210700
2000-02-28,7.25,7.75,7.1875,7.6875,5.883939266204834,146600
2000-02-29,7.625,8.375,7.5,8.3125,6.362307071685791,363300
2000-03-01,8.1875,9.0,7.875,8.4375,6.457980632781982,387800
2000-03-02,8.3125,8.8125,8.25,8.75,6.697163105010986,385300
2000-03-03,8.6875,8.75,8.1875,8.1875,6.266632556915283,217400
2000-03-06,8.3125,8.5,8.1875,8.375,6.41014289855957,200300
2000-03-07,8.3125,9.5625,8.3125,9.0625,6.93634557723999,551500
2000-03-08,9.0,9.125,8.6875,9.125,6.984186172485352,383800
2000-03-09,9.125,9.5,8.875,9.4375,7.223371505737305,337800
2000-03-10,9.4375,9.6875,8.9375,8.9375,6.840677261352539,184000
2000-03-13,9.1875,9.1875,8.4375,8.4375,6.457980632781982,111500
2000-03-14,8.5625,9.125,8.5625,8.75,6.697163105010986,205100
2000-03-15,8.75,8.9375,8.3125,8.5625,6.553652286529541,296100
2000-03-16,8.75,9.25,8.5625,9.25,7.079861640930176,218400
2000-03-17,8.625,9.25,8.625,9.0,6.888514041900635,384900
2000-03-20,9.125,9.125,8.5625,8.8125,6.745003700256348,190400
2000-03-21,8.8125,9.125,8.6875,9.0,6.888514041900635,232400
2000-03-22,9.0,9.25,9.0,9.25,7.079861640930176,230500
2000-03-23,9.25,9.4375,9.0,9.125,6.984186172485352,124100
2000-03-24,9.0625,9.6875,9.0625,9.375,7.175531387329102,174500
2000-03-27,9.25,9.375,9.0625,9.25,7.079861640930176,80900
2000-03-28,9.25,9.375,8.875,9.0,6.888514041900635,196300
2000-03-29,9.0625,9.3125,9.0,9.1875,7.0320234298706055,175400
2000-03-30,9.3125,10.3125,9.3125,10.0,7.653901100158691,362000
2000-03-31,10.125,10.75,10.0,10.5,8.036601066589355,435600
2000-04-03,10.625,10.875,10.25,10.5,8.036601066589355,328400
2000-04-04,10.375,10.375,9.125,9.9375,7.606066703796387,298600
2000-04-05,9.5625,10.0,9.5,9.75,7.462553024291992,198500
2000-04-06,9.875,10.125,9.875,10.0,7.653901100158691,207000
2000-04-07,10.0,10.0,9.5625,9.875,7.5582275390625,120300
2000-04-10,9.9375,9.9375,9.1875,9.1875,7.0320234298706055,132500
2000-04-11,9.1875,9.5,9.125,9.1875,7.0320234298706055,158100
2000-04-12,9.3125,9.75,9.25,9.6875,7.4147186279296875,95900
2000-04-13,9.6875,9.8125,9.6875,9.75,7.462553024291992,123200
2000-04-14,9.625,9.8125,9.625,9.75,7.462553024291992,210500
2000-04-17,9.6875,9.75,9.0,9.5625,7.3190412521362305,162600
2000-04-18,9.6875,9.9375,9.1875,9.8125,7.510391712188721,161300
2000-04-19,9.6875,10.1875,9.625,9.75,7.462553024291992,152200
2000-04-20,9.8125,10.125,9.5,9.5625,7.3190412521362305,137800
2000-04-24,9.4375,9.8125,9.375,9.8125,7.510391712188721,250000
2000-04-25,9.8125,10.125,9.375,10.125,7.749575614929199,173300
2000-04-26,10.0,10.625,9.4375,9.5,7.271209239959717,310100
2000-04-27,9.5,10.3125,9.5,10.125,7.749575614929199,146700
2000-04-28,10.25,10.5,10.0,10.3125,7.8930864334106445,117000
2000-05-01,10.25,10.75,10.1875,10.5,8.036601066589355,207600
2000-05-02,10.375,10.9375,10.25,10.6875,8.180107116699219,306500
2000-05-03,10.75,10.9375,10.4375,10.5,8.036601066589355,253400
2000-05-04,10.625,11.6875,10.5625,11.625,8.897661209106445,522600
2000-05-05,11.625,12.125,11.5625,12.125,9.280354499816895,411400
2000-05-08,11.8125,12.125,11.75,11.8125,9.041176795959473,235000
2000-05-09,11.875,11.9375,11.5,11.5625,8.849822044372559,280400
2000-05-10,11.4375,11.625,11.25,11.4375,8.754151344299316,249000
2000-05-11,11.5,12.125,11.5,12.125,9.280354499816895,571400
2000-05-12,12.125,12.125,11.875,12.0,9.184682846069336,179500
2000-05-15,12.0,12.5,11.9375,12.5,9.567376136779785,236300
2000-05-16,12.5625,13.0,12.5,12.75,9.758727073669434,356300
2000-05-17,12.8125,13.625,12.625,13.5,10.332767486572266,491300
2000-05-18,13.375,13.4375,13.0,13.125,10.045747756958008,417400
2000-05-19,13.0625,13.5,13.0,13.3125,10.189260482788086,334200
2000-05-22,13.1875,13.375,13.1875,13.375,10.23709487915039,242600
2000-05-23,13.375,13.5,13.125,13.125,10.045747756958008,166700
2000-05-24,13.125,13.3125,12.75,13.0,9.9500732421875,252700
2000-05-25,13.0625,13.3125,13.0,13.0,9.9500732421875,384400
2000-05-26,13.125,14.125,13.125,14.0625,10.763298988342285,375000
2000-05-30,14.1875,14.6875,14.0,14.125,10.811136245727539,422200
2000-05-31,14.1875,15.125,13.9375,14.9375,11.433016777038574,474800
2000-06-01,15.1875,15.625,13.875,14.5,11.098159790039062,705300
2000-06-02,14.4375,14.6875,13.5,14.3125,10.954647064208984,319000
2000-06-05,14.1875,14.4375,13.3125,13.8125,10.571953773498535,290400
2000-06-06,13.75,14.25,13.75,13.8125,10.571953773498535,314700
2000-06-07,13.8125,13.875,13.5,13.625,10.428443908691406,353600
2000-06-08,13.5625,13.8125,13.4375,13.625,10.428443908691406,265900
2000-06-09,13.625,13.6875,13.375,13.5625,10.380607604980469,148200
2000-06-12,13.625,14.1875,13.5625,13.875,10.61978816986084,609500
2000-06-13,14.0,14.125,13.875,14.0,10.715463638305664,302200
2000-06-14,14.0,14.125,13.75,13.8125,10.571953773498535,246600
2000-06-15,13.6875,13.875,13.375,13.625,10.428443908691406,718500
2000-06-16,13.75,13.9375,13.625,13.75,10.524117469787598,354000
2000-06-19,13.75,13.8125,13.375,13.75,10.524117469787598,150300
2000-06-20,13.625,13.875,13.125,13.3125,10.189260482788086,281200
2000-06-21,13.3125,13.5,13.1875,13.5,10.332767486572266,648000
2000-06-22,13.5,13.625,13.0,13.0625,9.997910499572754,243200
2000-06-23,13.0625,13.125,12.875,12.875,9.854398727416992,213500
2000-06-26,12.75,13.125,12.625,12.75,9.758727073669434,308000
2000-06-27,12.75,13.25,12.75,12.75,9.758727073669434,584400
2000-06-28,12.75,12.875,12.4375,12.875,9.854398727416992,295300
2000-06-29,12.875,12.875,12.125,12.125,9.280354499816895,475500
2000-06-30,12.375,12.765625,12.3125,12.765625,9.770685195922852,316700
2000-07-03,12.6875,13.0625,12.6875,13.0,9.9500732421875,59700
2000-07-05,12.875,12.9375,12.125,12.125,9.280354499816895,289400
2000-07-06,12.25,12.875,12.1875,12.4375,9.519540786743164,246400
2000-07-07,12.3125,12.6875,12.0625,12.125,9.280354499816895,194900
2000-07-10,12.125,12.25,11.75,12.125,9.280354499816895,171800
2000-07-11,12.25,12.6875,12.1875,12.625,9.663054466247559,554000
2000-07-12,12.625,12.8125,12.25,12.3125,9.423869132995605,391600
2000-07-13,12.25,12.375,11.875,12.375,9.471699714660645,135700
2000-07-14,12.25,12.25,12.0,12.25,9.376033782958984,104000
2000-07-17,12.25,12.375,11.8125,12.0,9.184682846069336,224300
2000-07-18,12.0,12.375,11.875,12.1875,9.328194618225098,193800
2000-07-19,12.0625,12.1875,11.6875,11.8125,9.041176795959473,204900
2000-07-20,11.75,11.9375,11.6875,11.75,8.993335723876953,124700
2000-07-21,11.625,11.625,11.1875,11.3125,8.658477783203125,171000
2000-07-24,11.1875,11.25,10.75,10.75,8.227945327758789,175600
2000-07-25,10.8125,11.125,10.625,10.875,8.323617935180664,371100
2000-07-26,10.875,11.3125,10.75,11.3125,8.658477783203125,202500
2000-07-27,11.1875,11.5,11.0,11.25,8.610642433166504,197900
2000-07-28,11.375,11.5,10.75,11.0,8.419292449951172,233000
2000-07-31,11.1875,11.1875,10.75,10.75,8.227945327758789,179800
2000-08-01,10.875,11.4375,10.875,11.3125,8.658477783203125,88000
2000-08-02,11.375,11.6875,11.1875,11.5625,8.849822044372559,185500
2000-08-03,11.5,11.5625,11.1875,11.5,8.801987648010254,226000
2000-08-04,11.4375,11.625,11.1875,11.375,8.706315040588379,72500
2000-08-07,11.3125,12.0,11.25,11.75,8.993335723876953,208800
2000-08-08,11.9375,12.1875,11.8125,11.875,9.089006423950195,361300
2000-08-09,12.0,12.5625,12.0,12.5625,9.615215301513672,344800
2000-08-10,12.5625,13.0,12.4375,12.8125,9.806561470031738,360900
2000-08-11,12.6875,12.9375,12.375,12.8125,9.806561470031738,302200
2000-08-14,12.8125,13.25,12.6875,13.0625,9.997910499572754,390200
2000-08-15,13.0625,13.125,12.4375,12.5,9.567376136779785,199200
2000-08-16,12.5,13.375,12.5,13.25,10.1414213180542,184200
2000-08-17,13.25,14.0,13.1875,13.9375,10.667624473571777,213100
2000-08-18,13.875,13.9375,13.4375,13.4375,10.284934997558594,88400
2000-08-21,13.6875,13.75,13.125,13.375,10.23709487915039,118600
2000-08-22,13.375,13.875,13.375,13.5,10.332767486572266,222700
2000-08-23,13.625,13.875,13.5,13.875,10.61978816986084,285600
2000-08-24,13.8125,13.875,13.5,13.875,10.61978816986084,299700
2000-08-25,13.75,13.875,13.5,13.5625,10.380607604980469,566300
2000-08-28,13.6875,14.1875,13.6875,13.875,10.61978816986084,304000
2000-08-29,13.9375,14.0,13.875,13.9375,10.667624473571777,212000
2000-08-30,14.0,14.0,13.625,13.6875,10.476282119750977,70900
2000-08-31,13.625,13.9375,13.5,13.875,10.61978816986084,1068200
2000-09-01,13.875,14.3125,13.875,14.3125,10.954647064208984,101200
2000-09-05,14.25,14.4375,14.0,14.0625,10.763298988342285,291500
2000-09-06,14.0625,14.5625,13.8125,14.5,11.098159790039062,299900
2000-09-07,14.5625,14.625,14.1875,14.625,11.193833351135254,234300
2000-09-08,14.625,14.625,14.1875,14.1875,10.85897445678711,119600
2000-09-11,14.25,14.6875,14.125,14.4375,11.050321578979492,231400
2000-09-12,14.5,14.5625,14.375,14.4375,11.050321578979492,501300
2000-09-13,14.5,14.5,14.3125,14.4375,11.050321578979492,284000
2000-09-14,14.5,14.5,14.375,14.5,11.098159790039062,163000
2000-09-15,14.3125,14.875,14.3125,14.625,11.193833351135254,456600
2000-09-18,14.6875,15.8125,14.6875,15.8125,12.102736473083496,1052600
2000-09-19,15.875,16.0,15.3125,15.5,11.863547325134277,687300
2000-09-20,15.5,16.0625,15.3125,15.375,11.767878532409668,621600
2000-09-21,15.3125,15.3125,14.25,14.25,10.906811714172363,541400
2000-09-22,13.9375,14.4375,13.9375,14.125,10.811136245727539,273800
2000-09-25,14.0,14.125,13.5,13.75,10.524117469787598,357100
2000-09-26,13.875,14.75,13.875,14.4375,11.050321578979492,156300
2000-09-27,14.4375,14.75,14.375,14.4375,11.050321578979492,346000
2000-09-28,14.5625,14.5625,14.0,14.5,11.098159790039062,172400
2000-09-29,14.5,14.625,14.125,14.1875,10.85897445678711,348500
2000-10-02,14.0625,14.375,13.9375,13.9375,10.667624473571777,491800
2000-10-03,14.1875,14.25,13.75,13.875,10.61978816986084,1010800
2000-10-04,13.875,13.875,13.6875,13.875,10.61978816986084,176600
2000-10-05,13.75,14.0625,13.75,13.875,10.61978816986084,273800
2000-10-06,13.9375,14.4375,13.875,14.0625,10.763298988342285,211100
2000-10-09,14.1875,14.375,14.125,14.1875,10.85897445678711,252200
2000-10-10,14.375,14.4375,14.125,14.125,10.811136245727539,559500
2000-10-11,14.3125,14.5,13.9375,14.1875,10.85897445678711,415600
2000-10-12,14.25,15.1875,14.125,14.5,11.098159790039062,2014200
2000-10-13,14.5,14.5,13.625,14.0625,10.763298988342285,461400
2000-10-16,14.125,14.125,13.8125,13.875,10.61978816986084,297600
2000-10-17,14.0,14.0,13.75,13.9375,10.667624473571777,215900
2000-10-18,13.875,13.9375,13.375,13.5,10.332767486572266,263300
2000-10-19,13.625,14.125,13.5625,13.625,10.428443908691406,682200
2000-10-20,13.5,13.9375,13.5,13.875,10.61978816986084,229000
2000-10-23,13.875,13.875,13.4375,13.625,10.428443908691406,542500
2000-10-24,13.75,13.9375,13.25,13.5625,10.380607604980469,923100
2000-10-25,13.5625,13.625,12.625,12.75,9.758727073669434,352000
2000-10-26,12.75,13.25,12.625,13.0625,9.997910499572754,268800
2000-10-27,13.125,13.4375,12.8125,12.875,9.854398727416992,1042500
2000-10-30,13.0,13.5,12.875,13.1875,10.093584060668945,257500
2000-10-31,13.3125,13.4375,12.875,13.0625,9.997910499572754,223400
2000-11-01,13.0625,13.625,13.0625,13.5625,10.380607604980469,188600
2000-11-02,13.6875,13.6875,13.3125,13.625,10.428443908691406,191800
2000-11-03,13.5625,13.8125,13.375,13.4375,10.284934997558594,98700
2000-11-06,13.4375,13.625,13.25,13.375,10.23709487915039,218500
2000-11-07,13.25,13.625,13.25,13.375,10.23709487915039,159600
2000-11-08,13.3125,13.9375,13.3125,13.5,10.332767486572266,191400
2000-11-09,13.625,13.6875,13.1875,13.375,10.23709487915039,200100
2000-11-10,13.4375,13.625,12.875,12.875,9.854398727416992,182000
2000-11-13,12.75,13.125,12.4375,12.5625,9.615215301513672,350100
2000-11-14,12.625,12.8125,12.5625,12.8125,9.806561470031738,398800
2000-11-15,13.0,13.875,13.0,13.8125,10.571953773498535,271800
