Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,33.25,33.25,32.625,33.0,18.091150283813477,336400
2000-01-04,32.5,33.0,32.1875,32.5625,17.8513126373291,494400
2000-01-05,32.5625,33.3125,32.25,32.3125,17.714252471923828,736000
2000-01-06,32.3125,33.375,31.8125,32.9375,18.056880950927734,660400
2000-01-07,33.4375,34.75,33.3125,34.25,18.776418685913086,594700
2000-01-10,34.75,34.75,33.125,33.625,18.433786392211914,389900
2000-01-11,33.375,33.75,32.875,33.25,18.22820472717285,812900
2000-01-12,33.0,33.625,32.75,33.3125,18.262468338012695,561500
2000-01-13,33.3125,34.1875,33.3125,34.0,18.639366149902344,589600
2000-01-14,33.9375,34.6875,33.625,34.0,18.639366149902344,599300
2000-01-18,33.75,33.75,32.5,32.75,17.954090118408203,945900
2000-01-19,32.5,33.25,32.375,32.8125,17.988359451293945,988100
2000-01-20,32.75,32.8125,32.25,32.625,17.88557243347168,943400
2000-01-21,32.0,32.0625,31.0,31.5,17.268823623657227,1000300
2000-01-24,31.625,32.4375,31.3125,32.125,17.6114559173584,586500
2000-01-25,32.125,32.8125,31.25,31.375,17.200294494628906,609700
2000-01-26,31.4375,32.4375,31.1875,32.375,17.74851417541504,503300
2000-01-27,32.0,32.375,29.8125,30.5625,16.754873275756836,1316500
2000-01-28,30.0625,30.1875,29.3125,30.0,16.44649887084961,814900
2000-01-31,29.8125,30.1875,29.125,30.1875,16.549285888671875,612200
2000-02-01,30.0,30.0,27.5,29.3125,16.06960105895996,1023000
2000-02-02,29.375,29.375,27.5,27.875,15.281538009643555,1416900
2000-02-03,27.875,27.875,26.375,26.625,14.596267700195312,1374600
2000-02-04,26.75,27.1875,25.75,26.75,14.664793968200684,1507200
2000-02-07,26.75,27.0,26.25,26.625,14.596267700195312,1126800
2000-02-08,26.75,26.8125,26.125,26.3125,14.424949645996094,1073900
2000-02-09,26.25,26.4375,25.3125,25.4375,13.94526195526123,1127900
2000-02-10,25.0,25.25,24.1875,24.5,13.431307792663574,3271100
2000-02-11,24.5625,24.75,23.75,24.375,13.362781524658203,680900
2000-02-14,24.25,24.5625,24.0625,24.25,13.294256210327148,436300
2000-02-15,24.5,24.625,24.1875,24.3125,13.328518867492676,689700
2000-02-16,24.3125,24.9375,24.3125,24.5,13.431307792663574,1297000
