Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,11.03125,11.03125,10.734375,10.765625,6.809101104736328,4101200
2000-01-04,10.765625,10.84375,10.65625,10.75,6.799216270446777,4865200
2000-01-05,10.75,10.9375,10.734375,10.75,6.799216270446777,3579600
2000-01-06,10.75,11.5,10.75,11.40625,7.214284896850586,6216000
2000-01-07,11.40625,11.421875,11.15625,11.328125,7.164872646331787,3256000
2000-01-10,11.59375,11.6875,11.375,11.59375,7.332870960235596,4311600
2000-01-11,11.5625,11.796875,11.5625,11.6875,7.3921685218811035,2384000
2000-01-12,11.625,11.703125,11.40625,11.453125,7.243932247161865,2298800
2000-01-13,11.453125,11.90625,11.34375,11.65625,7.372401714324951,3092400
2000-01-14,11.6875,11.734375,11.421875,11.515625,7.283463478088379,2435600
2000-01-18,11.390625,11.46875,11.0625,11.09375,7.0166335105896,2967600
2000-01-19,10.78125,10.921875,10.5625,10.90625,6.898042678833008,5771600
2000-01-20,11.0625,11.203125,10.21875,10.5,6.64109468460083,8070800
2000-01-21,10.640625,11.046875,10.625,10.9375,6.917806148529053,5105200
2000-01-24,10.953125,11.0625,10.59375,10.609375,6.710270881652832,3004000
2000-01-25,10.609375,10.671875,10.0,10.234375,6.473089694976807,5056800
2000-01-26,10.25,10.453125,9.984375,10.453125,6.611447811126709,3849200
2000-01-27,10.5,10.5,10.015625,10.0625,6.364380836486816,3670400
2000-01-28,10.078125,10.328125,9.9375,10.15625,6.423680305480957,3590400
2000-01-31,10.15625,10.28125,9.953125,10.0625,6.364380836486816,3682400
2000-02-01,10.0,10.09375,9.875,10.078125,6.374266147613525,2813200
2000-02-02,10.03125,10.0625,9.65625,9.6875,6.127201080322266,4220400
2000-02-03,9.8125,9.890625,9.75,9.828125,6.2161431312561035,3600800
2000-02-04,9.9375,10.21875,9.921875,10.078125,6.374266147613525,4637200
2000-02-07,10.0625,10.125,9.875,9.921875,6.275437355041504,2911200
2000-02-08,9.984375,10.0,9.65625,9.6875,6.127201080322266,3675200
2000-02-09,9.8125,10.15625,9.703125,9.734375,6.156849384307861,4865600
2000-02-10,9.734375,9.734375,8.96875,9.265625,5.8603692054748535,8339600
2000-02-11,9.28125,9.34375,9.15625,9.1875,5.810959815979004,3565600
2000-02-14,9.3125,9.5,9.21875,9.5,6.008609294891357,4377600
2000-02-15,9.625,9.703125,9.4375,9.703125,6.137083530426025,7250800
2000-02-16,9.75,9.84375,9.25,9.34375,5.909782886505127,5134400
2000-02-17,9.375,9.5,9.1875,9.46875,5.9888434410095215,3093600
2000-02-18,9.5,9.5625,9.359375,9.4375,5.969076633453369,3406800
2000-02-22,9.484375,9.84375,9.46875,9.703125,6.137083530426025,3113200
2000-02-23,9.703125,9.859375,9.6875,9.828125,6.2161431312561035,4042800
2000-02-24,9.875,9.890625,9.0625,9.3125,5.890019416809082,7104800
2000-02-25,9.3125,9.375,9.140625,9.359375,5.919668197631836,3038000
2000-02-28,9.359375,9.6875,9.203125,9.625,6.087671279907227,3203200
2000-02-29,9.609375,9.703125,9.484375,9.5,6.008609294891357,3417200
2000-03-01,9.53125,9.65625,9.5,9.5625,6.04813814163208,6612000
2000-03-02,9.546875,9.546875,9.34375,9.453125,5.9789628982543945,3593200
2000-03-03,9.4375,10.0,9.390625,9.84375,6.2260260581970215,5631600
2000-03-06,9.78125,9.78125,9.328125,9.4375,5.969076633453369,3090000
2000-03-07,9.3125,9.375,8.921875,9.0,5.69236421585083,5256400
2000-03-08,9.125,9.265625,9.0625,9.078125,5.741776943206787,4718000
2000-03-09,9.125,9.125,8.640625,8.984375,5.682482719421387,6275600
2000-03-10,8.921875,9.0625,8.71875,8.765625,5.544129371643066,6513200
2000-03-13,8.734375,8.8125,8.5625,8.8125,5.605750560760498,3582000
2000-03-14,8.875,8.875,8.71875,8.8125,5.605750560760498,3457200
2000-03-15,8.78125,9.34375,8.78125,9.34375,5.9436869621276855,3905200
2000-03-16,9.453125,9.953125,9.296875,9.953125,6.331318378448486,7003200
2000-03-17,10.0,10.15625,9.9375,10.0625,6.400891304016113,4546800
2000-03-20,10.109375,10.171875,9.421875,9.5625,6.082837104797363,4032400
2000-03-21,9.4375,10.03125,9.4375,10.0,6.361135959625244,4837600
2000-03-22,10.0625,10.109375,9.578125,9.65625,6.142470836639404,3949600
2000-03-23,9.5,9.6875,9.40625,9.671875,6.152410984039307,2982000
2000-03-24,9.640625,9.71875,9.4375,9.53125,6.0629563331604,2878000
2000-03-27,9.5,9.71875,9.5,9.671875,6.152410984039307,2232800
2000-03-28,9.59375,9.671875,9.25,9.296875,5.913867950439453,3300400
2000-03-29,9.296875,9.46875,9.25,9.46875,6.023199081420898,3122400
2000-03-30,9.5,9.5,9.25,9.296875,5.913867950439453,2840400
2000-03-31,9.359375,9.78125,9.3125,9.78125,6.22198486328125,3893200
2000-04-03,9.78125,9.78125,9.65625,9.6875,6.162351131439209,4480000
2000-04-04,9.71875,9.828125,9.390625,9.671875,6.152410984039307,3644400
2000-04-05,9.6875,10.25,9.671875,10.25,6.520165920257568,4744800
2000-04-06,10.25,10.59375,10.21875,10.3125,6.55992317199707,5835600
